Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
232571861,The Intruder,Freida McFadden,"McFadden, Freida",,"=""""","=""""",0,3.89,Hollywood Upstairs Press,Kindle Edition,292,2025,2025,2025/10/08,2025/10/08,,,read,,,,1,0
58468990,The Paris Apartment,Lucy Foley,"Foley, Lucy",,"=""0063003058""","=""9780063003057""",0,3.64,William Morrow,Hardcover,360,2022,2022,2025/10/08,2025/10/07,,,read,,,,1,0
30267977,"Find Her (Detective D.D. Warren, #8)",Lisa Gardner,"Gardner, Lisa",,"=""0451477162""","=""9780451477163""",0,4.16,Dutton ,Mass Market Paperback,432,2016,2016,,2025/08/04,to-read,to-read (#13),to-read,,,,0,0
56047352,Want to Know a Secret?,Freida McFadden,"McFadden, Freida",,"=""""","=""""",0,3.92,Hollywood Upstairs Press,Kindle Edition,398,2021,2021,2025/07/05,2025/07/04,,,read,,,,1,0
220160814,Don't Let Him In,Lisa Jewell,"Jewell, Lisa",,"=""1668033879""","=""9781668033876""",0,3.76,Atria Books,Hardcover,361,2025,2025,,2025/07/03,to-read,to-read (#12),to-read,,,,0,0
30108909,Brain Damage,Freida McFadden,"McFadden, Freida",,"=""""","=""""",0,3.97,Hollywood Upstairs Publishing,Kindle Edition,394,2016,2016,2025/07/02,2025/06/30,,,read,,,,1,0
58778536,Do Not Disturb,Freida McFadden,"McFadden, Freida",,"=""""","=""""",0,3.90,Hollywood Upstairs Publishing,Kindle Edition,325,2021,2021,2025/06/29,2025/06/27,,,read,,,,1,0
161380710,The Coworker,Freida McFadden,"McFadden, Freida",,"=""""","=""""",0,3.74,Hollywood Upstairs Press,Kindle Edition,370,2023,2023,2025/06/27,2025/06/25,,,read,,,,1,0
43531101,The Ex,Freida McFadden,"McFadden, Freida",,"=""""","=""""",0,3.85,Hollywood Upstairs Publishing,Kindle Edition,347,2019,2019,2025/06/25,2025/06/24,,,read,,,,1,0
62334530,None of This Is True,Lisa Jewell,"Jewell, Lisa",,"=""1982179007""","=""9781982179007""",0,4.07,Atria Books,Hardcover,390,2023,2023,2025/06/24,2025/04/12,,,read,,,,1,0
43822820,"The Family Upstairs (The Family Upstairs, #1)",Lisa Jewell,"Jewell, Lisa",,"=""1501190105""","=""9781501190100""",0,3.95,Atria Books,Hardcover,352,2019,2019,,2025/06/22,to-read,to-read (#11),to-read,,,,0,0
215043592,Dead Med,Freida McFadden,"McFadden, Freida",,"=""""","=""""",0,3.82,Hollywood Upstairs Press,Kindle Edition,474,2024,,2025/06/22,2025/06/20,,,read,,,,1,0
54197718,One by One,Freida McFadden,"McFadden, Freida",,"=""""","=""""",0,3.84,Hollywood Upstairs Press,Kindle Edition,295,2020,2020,2025/06/13,2025/06/11,,,read,,,,1,0
57795665,The Locked Door,Freida McFadden,"McFadden, Freida",,"=""""","=""""",0,3.98,Hollywood Upstairs Press,Kindle Edition,313,2021,2021,2025/06/13,2025/06/04,,,read,,,,1,0
230824619,"Death Row (Alibis Collection, #1)",Freida McFadden,"McFadden, Freida",,"=""1662532261""","=""9781662532269""",0,3.53,Amazon Original Stories,Kindle Edition,74,2025,2025,2025/06/11,2025/06/04,,,read,,,,1,0
61149872,The Inmate,Freida McFadden,"McFadden, Freida",,"=""""","=""""",0,4.00,Hollywood Upstairs Press ,Kindle Edition,388,2022,2022,2025/06/10,2025/05/09,,,read,,,,1,0
52616342,The Perfect Son,Freida McFadden,"McFadden, Freida",,"=""""","=""""",0,4.00,Hollywood Upstairs Press,Kindle Edition,373,2019,2019,2025/06/09,2025/05/09,,,read,,,,1,0
221997992,The Perfect Marriage,Jeneva Rose,"Rose, Jeneva",,"=""""","=""""",0,3.97,Corner Star Press,Kindle Edition,368,2024,2020,2025/06/08,2025/05/21,,,read,,,,1,0
222564068,The Tenant,Freida McFadden,"McFadden, Freida",,"=""""","=""""",0,3.83,Hollywood Upstairs Press,Kindle Edition,372,2025,2025,2025/05/16,2025/05/16,,,read,,,,1,0
216188969,The Crash,Freida McFadden,"McFadden, Freida",,"=""""","=""""",0,3.69,Hollywood Upstairs Press,Kindle Edition,388,2025,2025,2025/05/03,2025/05/01,,,read,,,,1,0
123193218,Ward D,Freida McFadden,"McFadden, Freida",,"=""""","=""""",0,3.96,Hollywood Upstairs Press,Kindle Edition,348,2023,2023,2025/04/29,2025/04/27,,,read,,,,1,0
721003,"Peak (Peak, #1)",Roland Smith,"Smith, Roland",,"=""0152024174""","=""9780152024178""",0,3.97,Clarion Books,Hardcover,246,2007,,,2025/04/28,,,read,,,,1,0
62080187,Never Lie,Freida McFadden,"McFadden, Freida",,"=""""","=""""",0,4.08,Hollywood Upstairs Press,Kindle Edition,286,2022,2022,2025/04/25,2025/04/25,,,read,,,,1,0
61392438,I Will Find You,Harlan Coben,"Coben, Harlan",,"=""""","=""""",0,4.13,Grand Central Publishing,Kindle Edition,400,2023,2023,2025/04/24,2025/04/24,,,read,,,,1,0
198218463,The Teacher,Freida McFadden,"McFadden, Freida",,"=""""","=""""",0,3.89,Hollywood Upstairs Press,Kindle Edition,402,2024,2024,2025/04/23,2025/04/22,,,read,,,,1,0
209950981,The Boyfriend,Freida McFadden,"McFadden, Freida",,"=""""","=""""",0,4.03,Hollywood Upstairs Press,Kindle Edition,370,2024,2024,2025/04/22,2025/04/22,,,read,,,,1,0
199228303,"The Housemaid Is Watching (The Housemaid, #3)",Freida McFadden,"McFadden, Freida",,"=""183525229X""","=""9781835252291""",0,3.86,Bookouture,Kindle Edition,402,2024,2024,2025/04/21,2025/04/21,,,read,,,,1,0
62848145,"The Housemaid's Secret (The Housemaid, #2)",Freida McFadden,"McFadden, Freida",,"=""1837901317""","=""9781837901319""",0,4.16,Bookouture,Kindle Edition,311,2023,2023,2025/04/21,2025/04/20,,,read,,,,1,0
60556912,"The Housemaid (The Housemaid, #1)",Freida McFadden,"McFadden, Freida",,"=""1803144378""","=""9781803144375""",0,4.27,Bookouture,Kindle Edition,329,2022,2022,2025/04/20,2025/04/08,,,read,,,,1,0
40874325,The Shack: Where Tragedy Confronts Eternity,William Paul Young,"Young, William Paul",,"=""""","=""""",0,3.84,Windblown Media,Kindle Edition,294,2008,2007,,2025/04/20,to-read,to-read (#10),to-read,,,,0,0
29437949,Behind Closed Doors,B.A. Paris,"Paris, B.A.",,"=""1250121000""","=""9781250121004""",0,3.97,St. Martin's Press,Hardcover,293,2016,2016,2025/04/19,2025/04/18,,,read,,,,1,0
249747,"Artemis Fowl (Artemis Fowl, #1)",Eoin Colfer,"Colfer, Eoin",,"=""""","=""""",0,3.86,Miramax,Paperback,396,2003,2001,2025/04/18,2025/04/18,,,read,,,,1,0
217394492,"Nobody’s Fool (Detective Sami Kierce, #2)",Harlan Coben,"Coben, Harlan",,"=""1538756358""","=""9781538756355""",0,4.20,Grand Central Publishing,Hardcover,341,2025,2025,,2025/04/14,to-read,to-read (#9),to-read,,,,0,0
7735333,"Matched (Matched, #1)",Ally Condie,"Condie, Ally",,"=""0525423648""","=""9780525423645""",0,3.62,Dutton Books for Young Readers,Hardcover,369,2010,2010,,2025/04/14,to-read,to-read (#8),to-read,,,,1,0
113436,Eragon (The Inheritance Cycle #1),Christopher Paolini,"Paolini, Christopher",,"=""0375826696""","=""9780375826696""",0,3.97,Alfred A. Knopf,Paperback,503,2005,2002,,2025/04/14,to-read,to-read (#7),to-read,,,,1,0
18710190,"Allegiant (Divergent, #3)",Veronica Roth,"Roth, Veronica",,"=""0007524277""","=""9780007524273""",0,3.60,HarperCollins Children's Book's,Hardcover,531,2013,2013,,2025/04/14,,,read,,,,1,0
2767052,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,"Collins, Suzanne",,"=""0439023483""","=""9780439023481""",0,4.35,Scholastic Press,Hardcover,374,2008,2008,,2025/04/14,,,read,,,,1,0
6148028,"Catching Fire (The Hunger Games, #2)",Suzanne Collins,"Collins, Suzanne",,"=""0439023491""","=""9780439023498""",0,4.36,Scholastic Press,Hardcover,391,2009,2009,,2025/04/14,,,read,,,,1,0
7260188,"Mockingjay (The Hunger Games, #3)",Suzanne Collins,"Collins, Suzanne",,"=""0439023513""","=""9780439023511""",0,4.12,Scholastic Press,Hardcover,390,2010,2010,,2025/04/14,,,read,,,,1,0
13335037,"Divergent (Divergent, #1)",Veronica Roth,"Roth, Veronica",,"=""0062024035""","=""9780062024039""",0,4.13,Katherine Tegen Books,Paperback,487,2012,2011,,2025/04/14,,,read,,,,1,0
11735983,"Insurgent (Divergent, #2)",Veronica Roth,"Roth, Veronica",,"=""0007442912""","=""9780007442911""",0,3.96,HarperCollins Children's Books,Hardcover,525,2012,2012,,2025/04/14,,,read,,,,1,0
40097951,The Silent Patient,Alex Michaelides,"Michaelides, Alex",,"=""1250301696""","=""9781250301697""",0,4.17,Celadon Books,Hardcover,336,2019,2019,2025/03/31,2025/03/30,,,read,,,,1,0
8435445,"Scorpia Rising (Alex Rider, #9)",Anthony Horowitz,"Horowitz, Anthony",,"=""""","=""""",0,4.29,Philomel Books,Hardcover,416,2011,2011,,2025/04/14,,,read,,,,1,0
6566616,"Crocodile Tears (Alex Rider, #8)",Anthony Horowitz,"Horowitz, Anthony",,"=""0399250565""","=""9780399250569""",0,4.17,Philomel Books,Hardcover,385,2009,2009,,2025/04/14,,,read,,,,1,0
1821571,Snakehead (Alex Rider #7),Anthony Horowitz,"Horowitz, Anthony",,"=""1406309354""","=""9781406309355""",0,4.15,Walker Books,Hardcover,416,2007,2007,,2025/04/14,,,read,,,,1,0
94319,Ark Angel (Alex Rider #6),Anthony Horowitz,"Horowitz, Anthony",,"=""0142407380""","=""9780142407387""",0,4.12,Speak,Paperback,352,2007,2005,,2025/04/14,,,read,,,,1,0
542414,Scorpia (Alex Rider #5),Anthony Horowitz,"Horowitz, Anthony",,"=""0142405787""","=""9780142405789""",0,4.19,Puffin Books,Paperback,388,2006,2004,,2025/04/14,,,read,,,,1,0
175004,"Eagle Strike (Alex Rider, #4)",Anthony Horowitz,"Horowitz, Anthony",,"=""0142406139""","=""9780142406137""",0,4.12,Speak,Paperback,352,2006,2003,,2025/04/14,,,read,,,,1,0
